already-tested LR combos: 5
remaining untested combos to try: 1600
[240] LR_20260709_081659 f1_up=0.5488 | C=5.305e-05 solver=liblinear | elapsed=1103s
[241] LR_20260709_081704 f1_up=0.5483 | C=6.039e-08 solver=liblinear | elapsed=1106s
[242] LR_20260709_081707 f1_up=0.5482 | C=8.608e-05 solver=liblinear | elapsed=1110s
[243] LR_20260709_081711 f1_up=0.5482 | C=4.488e-07 solver=liblinear | elapsed=1113s
[244] LR_20260709_081715 f1_up=0.5475 | C=1.220e+01 solver=lbfgs | elapsed=1117s
[245] LR_20260709_081718 f1_up=0.5481 | C=1.017e-02 solver=lbfgs | elapsed=1121s
[246] LR_20260709_081722 f1_up=0.5482 | C=2.766e-07 solver=lbfgs | elapsed=1123s
[247] LR_20260709_081724 f1_up=0.5483 | C=3.852e-08 solver=lbfgs | elapsed=1125s
[248] LR_20260709_081726 f1_up=0.5477 | C=7.561e-02 solver=liblinear | elapsed=1134s
[249] LR_20260709_081735 f1_up=0.5485 | C=9.885e-05 solver=liblinear | elapsed=1139s
[250] LR_20260709_081740 f1_up=0.5477 | C=3.278e+00 solver=liblinear | elapsed=1148s
[251] LR_20260709_081749 f1_up=0.5483 | C=1.997e-08 solver=liblinear | elapsed=1151s
[252] LR_20260709_081752 f1_up=0.5477 | C=1.227e-01 solver=liblinear | elapsed=1160s
[253] LR_20260709_081801 f1_up=0.5477 | C=2.196e+01 solver=liblinear | elapsed=1169s
[254] LR_20260709_081811 f1_up=0.5480 | C=1.168e-02 solver=liblinear | elapsed=1180s
[255] LR_20260709_081823 f1_up=0.5483 | C=3.113e-06 solver=liblinear | elapsed=1186s
[256] LR_20260709_081828 f1_up=0.5477 | C=1.000e+04 solver=liblinear | elapsed=1200s
[257] LR_20260709_081841 f1_up=0.5483 | C=1.729e-06 solver=liblinear | elapsed=1204s
[258] LR_20260709_081845 f1_up=0.5484 | C=1.023e-04 solver=lbfgs | elapsed=1207s
